I,Observation.valueQuantity.code,Observation.valueQuantity.unit
http://unitsofmeasure.org,daL/min/m2,dekaliter per minute per square meter
http://unitsofmeasure.org,{dilution},dilution
http://unitsofmeasure.org,[diop],diopter
http://unitsofmeasure.org,[dr_av],dram  (US and British)
http://unitsofmeasure.org,[drp],drop (1/12 milliliter)
http://unitsofmeasure.org,dyn.s/cm,dyne second per centimeter
http://unitsofmeasure.org,dyn.s/(cm.m2),dyne second per centimeter per square meter
http://unitsofmeasure.org,{Ehrlich'U},Ehrlich unit
http://unitsofmeasure.org,{Ehrlich'U}/100.g,Ehrlich unit per 100 gram
http://unitsofmeasure.org,{Ehrlich'U}/(2.h),Ehrlich unit per 2 hour
http://unitsofmeasure.org,{Ehrlich'U}/d,Ehrlich unit per day
http://unitsofmeasure.org,{Ehrlich'U}/dL,Ehrlich unit per deciliter
http://unitsofmeasure.org,{EIA_index},EIA index
http://unitsofmeasure.org,{EIA_titer},EIA titer
http://unitsofmeasure.org,{EIA'U},EIA unit
http://unitsofmeasure.org,{EIA'U}/U,EIA unit per enzyme unit
http://unitsofmeasure.org,{EV},EIA value
http://unitsofmeasure.org,eV,electron Volt
http://unitsofmeasure.org,{ELISA'U},ELISA unit
http://unitsofmeasure.org,U,enzyme unit
http://unitsofmeasure.org,U/10,enzyme unit per 10
http://unitsofmeasure.org,U/10*10,enzyme unit per 10 billion
http://unitsofmeasure.org,U/10*10{cells},enzyme unit per 10 billion cells
http://unitsofmeasure.org,U/(10.g){feces},enzyme unit per 10 gram of feces
http://unitsofmeasure.org,U/(12.h),enzyme unit per 12 hour
http://unitsofmeasure.org,U/(2.h),enzyme unit per 2 hour
http://unitsofmeasure.org,U/(24.h),enzyme unit per 24 hour
http://unitsofmeasure.org,U/10*9,enzyme unit per billion
http://unitsofmeasure.org,U/d,enzyme unit per day
http://unitsofmeasure.org,U/dL,enzyme unit per deciliter
http://unitsofmeasure.org,U/g,enzyme unit per gram
http://unitsofmeasure.org,U/g{creat},enzyme unit per gram of creatinine
http://unitsofmeasure.org,U/g{Hb},enzyme unit per gram of hemoglobin
http://unitsofmeasure.org,U/g{protein},enzyme unit per gram of protein
http://unitsofmeasure.org,U/h,enzyme unit per hour
http://unitsofmeasure.org,U/kg{Hb},enzyme unit per kilogram of hemoglobin
http://unitsofmeasure.org,U/L,enzyme unit per liter
http://unitsofmeasure.org,U{25Cel}/L,enzyme unit per liter at 25 deg Celsius
http://unitsofmeasure.org,U{37Cel}/L,enzyme unit per liter at 37 deg Celsius
http://unitsofmeasure.org,U/mL,enzyme unit per milliliter
http://unitsofmeasure.org,U/mL{RBCs},enzyme unit per milliliter of red blood cells
http://unitsofmeasure.org,U/mmol{creat},enzyme unit per millimole of creatinine
http://unitsofmeasure.org,U/10*6,enzyme unit per million
http://unitsofmeasure.org,U/min,enzyme unit per minute
http://unitsofmeasure.org,U/s,enzyme unit per second
http://unitsofmeasure.org,U/10*12,enzyme unit per trillion
http://unitsofmeasure.org,U/10*12{RBCs},enzyme unit per trillion red blood cells
http://unitsofmeasure.org,eq,equivalent
http://unitsofmeasure.org,eq/L,equivalent per liter
http://unitsofmeasure.org,eq/umol,equivalent per micromole
http://unitsofmeasure.org,eq/mL,equivalent per milliliter
http://unitsofmeasure.org,eq/mmol,equivalent per millimole
http://unitsofmeasure.org,erg,erg
http://unitsofmeasure.org,F,Farad
http://unitsofmeasure.org,[ft_us]/[ft_us],feet (US) per feet (US)
http://unitsofmeasure.org,fg,femtogram
http://unitsofmeasure.org,fL,femtoliter
http://unitsofmeasure.org,fm,femtometer
http://unitsofmeasure.org,fmol,femtomole
http://unitsofmeasure.org,fmol/g,femtomole per gram
http://unitsofmeasure.org,fmol/L,femtomole per liter
http://unitsofmeasure.org,fmol/mg,femtomole per milligram
http://unitsofmeasure.org,fmol/mg{cyt_prot},femtomole per milligram of cytosol protein
http://unitsofmeasure.org,fmol/mg{prot},femtomole per milligram of protein
http://unitsofmeasure.org,fmol/mL,femtomole per milliliter
http://unitsofmeasure.org,[foz_us],fluid ounce (US)
http://unitsofmeasure.org,{FIU},fluorescent intensity unit
http://unitsofmeasure.org,[ft_i],foot (international)
http://unitsofmeasure.org,{fraction},fraction
http://unitsofmeasure.org,[Ch],French (catheter gauge)
http://unitsofmeasure.org,{GAA_repeats},GAA trinucleotide repeats
http://unitsofmeasure.org,[gal_us],gallon (US)
http://unitsofmeasure.org,{genomes}/mL,genomes per milliliter
http://unitsofmeasure.org,{Globules}/[HPF],globules (drops)  per high power field
http://unitsofmeasure.org,g,gram
http://unitsofmeasure.org,g.m,gram meter
http://unitsofmeasure.org,g.m/{beat},gram meter per heart beat
http://unitsofmeasure.org,g{creat},gram of creatinine
http://unitsofmeasure.org,g{Hb},gram of hemoglobin
http://unitsofmeasure.org,g{total_nit},gram of total nitrogen
http://unitsofmeasure.org,g{total_prot},gram of total protein
http://unitsofmeasure.org,g{wet_tissue},gram of wet tissue
http://unitsofmeasure.org,g/kg/(8.h),gram per  kilogram per 8 hour
http://unitsofmeasure.org,g/(100.g),gram per 100 gram
http://unitsofmeasure.org,g/(12.h),gram per 12 hour
http://unitsofmeasure.org,g/(24.h),gram per 24 hour
http://unitsofmeasure.org,g/(3.d),gram per 3 days
http://unitsofmeasure.org,g/(4.h),gram per 4 hour
http://unitsofmeasure.org,g/(48.h),gram per 48 hour
http://unitsofmeasure.org,g/(5.h),gram per 5 hour
http://unitsofmeasure.org,g/(6.h),gram per 6 hour
http://unitsofmeasure.org,g/(72.h),gram per 72 hour
http://unitsofmeasure.org,g/(8.h){shift},gram per 8 hour shift
http://unitsofmeasure.org,g/cm3,gram per cubic centimeter
http://unitsofmeasure.org,g/d,gram per day
http://unitsofmeasure.org,g/dL,gram per deciliter
http://unitsofmeasure.org,g/g,gram per gram
http://unitsofmeasure.org,g/g{creat},gram per gram of creatinine
http://unitsofmeasure.org,g/g{globulin},gram per gram of globulin
http://unitsofmeasure.org,g/g{tissue},gram per gram of tissue
http://unitsofmeasure.org,g/h,gram per hour
http://unitsofmeasure.org,g/h/m2,gram per hour per square meter
http://unitsofmeasure.org,g/kg,gram per kilogram
http://unitsofmeasure.org,g/kg/(8.h){shift},gram per kilogram per 8 hour shift
http://unitsofmeasure.org,g/kg/d,gram per kilogram per day
http://unitsofmeasure.org,g/kg/h,gram per kilogram per hour
http://unitsofmeasure.org,g/kg/min,gram per kilogram per minute
http://unitsofmeasure.org,g/L,gram per liter
http://unitsofmeasure.org,g/mg,gram per milligram
http://unitsofmeasure.org,g/mL,gram per milliliter
http://unitsofmeasure.org,g/mmol,gram per millimole
http://unitsofmeasure.org,g/min,gram per minute
http://unitsofmeasure.org,g/mol{creat},gram per mole of creatinine
http://unitsofmeasure.org,g/{specimen},gram per specimen
http://unitsofmeasure.org,g/cm2,gram per square centimeter
http://unitsofmeasure.org,g/m2,gram per square meter
http://unitsofmeasure.org,g/{total_output},gram per total output
http://unitsofmeasure.org,g/{total_weight},gram per total weight
http://unitsofmeasure.org,Gy,Gray
http://unitsofmeasure.org,{beats}/min,heart beats per minute
http://unitsofmeasure.org,H,Henry
http://unitsofmeasure.org,Hz,Hertz
http://unitsofmeasure.org,[HPF],high power field
http://unitsofmeasure.org,h,hour
http://unitsofmeasure.org,h/d,hour per day
http://unitsofmeasure.org,h/wk,hour per week
http://unitsofmeasure.org,[APL'U]/mL,IgA anticardiolipin unit per milliliter**
http://unitsofmeasure.org,[APL'U],IgA anticardiolipin unit**
http://unitsofmeasure.org,{APS'U},IgA antiphosphatidylserine unit
http://unitsofmeasure.org,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**
http://unitsofmeasure.org,[GPL'U],IgG anticardiolipin unit**
http://unitsofmeasure.org,{GPS'U},IgG antiphosphatidylserine unit
http://unitsofmeasure.org,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**
http://unitsofmeasure.org,[MPL'U],IgM anticardiolipin unit**
http://unitsofmeasure.org,{MPS'U},IgM antiphosphatidylserine unit
http://unitsofmeasure.org,{MPS'U}/mL,IgM antiphosphatidylserine unit per milliliter
http://unitsofmeasure.org,{ImmuneComplex'U},immune complex unit
http://unitsofmeasure.org,{ISR},immune status ratio
http://unitsofmeasure.org,{IFA_index},immunofluorescence assay index
http://unitsofmeasure.org,{IFA_titer},Immunofluorescence assay titer
http://unitsofmeasure.org,[in_i],inch (international)
http://unitsofmeasure.org,[in_i'H2O],inch (international) of water
http://unitsofmeasure.org,[in_us],inches (US)
http://unitsofmeasure.org,{index_val},index value
http://unitsofmeasure.org,{index},index value
http://unitsofmeasure.org,{HA_titer},influenza hemagglutination titer
http://unitsofmeasure.org,{INR},international normalized ratio
http://unitsofmeasure.org,[IU],international unit
http://unitsofmeasure.org,[IU]/(2.h),international unit per 2 hour
http://unitsofmeasure.org,[IU]/(24.h),international unit per 24 hour
http://unitsofmeasure.org,[IU]/10*9{RBCs},international unit per billion red blood cells
http://unitsofmeasure.org,[IU]/d,international unit per day
http://unitsofmeasure.org,[IU]/dL,international unit per deciliter
http://unitsofmeasure.org,[IU]/g,international unit per gram
http://unitsofmeasure.org,[IU]/g{Hb},international unit per gram of hemoglobin
http://unitsofmeasure.org,[IU]/h,international unit per hour
http://unitsofmeasure.org,[IU]/kg,international unit per kilogram
http://unitsofmeasure.org,[IU]/kg/d,international unit per kilogram per day
http://unitsofmeasure.org,[IU]/L,international unit per liter
http://unitsofmeasure.org,[IU]/L{37Cel},international unit per liter at 37 degrees Celsius
http://unitsofmeasure.org,[IU]/mg{creat},international unit per milligram of creatinine
http://unitsofmeasure.org,[IU]/mL,international unit per milliliter
http://unitsofmeasure.org,[IU]/min,international unit per minute
http://unitsofmeasure.org,J,joule
http://unitsofmeasure.org,J/L,joule per liter
http://unitsofmeasure.org,{JDF'U},Juvenile Diabetes Foundation unit
http://unitsofmeasure.org,{JDF'U}/L,Juvenile Diabetes Foundation unit per liter
http://unitsofmeasure.org,{KCT'U},kaolin clotting time
http://unitsofmeasure.org,kat,katal
http://unitsofmeasure.org,kat/kg,katal per kilogram
http://unitsofmeasure.org,kat/L,katal per liter
http://unitsofmeasure.org,kU,kilo enzyme unit
http://unitsofmeasure.org,kU/g,kilo enzyme unit per gram
http://unitsofmeasure.org,kU/L,kilo enzyme unit per liter
http://unitsofmeasure.org,kU/L{class},kilo enzyme unit per liter class
http://unitsofmeasure.org,kU/mL,kilo enzyme unit per milliliter
http://unitsofmeasure.org,k[IU]/L,kilo international unit per liter
http://unitsofmeasure.org,k[IU]/mL,kilo international unit per milliliter
http://unitsofmeasure.org,kcal,kilocalorie
http://unitsofmeasure.org,kcal/(24.h),kilocalorie per 24 hour
http://unitsofmeasure.org,kcal/d,kilocalorie per day
http://unitsofmeasure.org,kcal/h,kilocalorie per hour
http://unitsofmeasure.org,kcal/kg/(24.h),kilocalorie per kilogram per 24 hour
http://unitsofmeasure.org,kcal/[oz_av],kilocalorie per ounce (US & British)
http://unitsofmeasure.org,kg,kilogram
http://unitsofmeasure.org,kg.m/s,kilogram meter per second
http://unitsofmeasure.org,kg/m3,kilogram per cubic meter
http://unitsofmeasure.org,kg/h,kilogram per hour
http://unitsofmeasure.org,kg/L,kilogram per liter
http://unitsofmeasure.org,kg/min,kilogram per minute
http://unitsofmeasure.org,kg/mol,kilogram per mole
http://unitsofmeasure.org,kg/s,kilogram per second
http://unitsofmeasure.org,kg/(s.m2),kilogram per second per square meter
http://unitsofmeasure.org,kg/m2,kilogram per square meter
http://unitsofmeasure.org,kL,kiloliter
http://unitsofmeasure.org,km,kilometer
http://unitsofmeasure.org,kPa,kilopascal
http://unitsofmeasure.org,ks,kilosecond
http://unitsofmeasure.org,[ka'U],King Armstrong unit
http://unitsofmeasure.org,{KRONU'U}/mL,Kronus unit per milliliter
http://unitsofmeasure.org,[knk'U],Kunkel unit
http://unitsofmeasure.org,L,liter
http://unitsofmeasure.org,L/(24.h),liter per 24 hour
http://unitsofmeasure.org,L/(8.h),liter per 8 hour
http://unitsofmeasure.org,L/d,liter per day
http://unitsofmeasure.org,L/h,liter per hour
http://unitsofmeasure.org,L/kg,liter per kilogram
http://unitsofmeasure.org,L/L,liter per liter
http://unitsofmeasure.org,L/min,liter per minute
http://unitsofmeasure.org,L/min/m2,liter per minute per sqaure meter
http://unitsofmeasure.org,L/(min.m2),liter per minute per square meter
http://unitsofmeasure.org,L/s,liter per second
http://unitsofmeasure.org,L/s/s2,liter per second per square second
http://unitsofmeasure.org,{Log_copies}/mL,log (base 10) copies per milliliter
http://unitsofmeasure.org,{Log_IU},log (base 10) international unit
http://unitsofmeasure.org,{Log_IU}/mL,log (base 10) international unit per milliliter
http://unitsofmeasure.org,{Log},log base 10
http://unitsofmeasure.org,[LPF],low power field
http://unitsofmeasure.org,lm,lumen
http://unitsofmeasure.org,lm.m2,lumen square meter
http://unitsofmeasure.org,{Lyme_index_value},Lyme index value
http://unitsofmeasure.org,[mclg'U],Maclagan unit
http://unitsofmeasure.org,Ms,megasecond
http://unitsofmeasure.org,[MET].min/wk,metabolic equivalent minute per week
http://unitsofmeasure.org,m,meter
http://unitsofmeasure.org,m/s,meter per second
http://unitsofmeasure.org,m/s2,meter per square second
http://unitsofmeasure.org,t,metric ton
http://unitsofmeasure.org,uU/g,micro enzyme unit per gram
http://unitsofmeasure.org,uU/L,micro enzyme unit per liter
http://unitsofmeasure.org,uU/mL,micro enzyme unit per milliliter
http://unitsofmeasure.org,u[IU],micro international unit
http://unitsofmeasure.org,u[IU]/mL,micro international unit per milliliter
http://unitsofmeasure.org,ueq,microequivalent
http://unitsofmeasure.org,ueq/L,microequivalent per liter
http://unitsofmeasure.org,ueq/mL,microequivalent per milliliter
http://unitsofmeasure.org,ug,microgram
http://unitsofmeasure.org,ug/g{feces},microgram  per gram of feces
http://unitsofmeasure.org,ug{FEU}/mL,microgram fibrinogen equivalent unit per milliliter
http://unitsofmeasure.org,ug/(100.g),microgram per 100 gram
http://unitsofmeasure.org,ug/(24.h),microgram per 24 hour
http://unitsofmeasure.org,ug/(8.h),microgram per 8 hour
http://unitsofmeasure.org,ug/m3,microgram per cubic meter
http://unitsofmeasure.org,ug/d,microgram per day
http://unitsofmeasure.org,ug/dL,microgram per deciliter
http://unitsofmeasure.org,ug/dL{RBCs},microgram per deciliter of red blood cells
http://unitsofmeasure.org,ug/g,microgram per gram
http://unitsofmeasure.org,ug/g{creat},microgram per gram of creatinine
http://unitsofmeasure.org,ug/g{dry_tissue},microgram per gram of dry tissue
http://unitsofmeasure.org,ug/g{dry_wt},microgram per gram of dry weight
http://unitsofmeasure.org,ug/g{hair},microgram per gram of hair
http://unitsofmeasure.org,ug/g{Hb},microgram per gram of hemoglobin
http://unitsofmeasure.org,ug/g{tissue},microgram per gram of tissue
http://unitsofmeasure.org,ug/h,microgram per hour
http://unitsofmeasure.org,ug/kg,microgram per kilogram
http://unitsofmeasure.org,ug/kg/(8.h),microgram per kilogram per 8 hour
http://unitsofmeasure.org,ug/kg/d,microgram per kilogram per day
http://unitsofmeasure.org,ug/kg/h,microgram per kilogram per hour
http://unitsofmeasure.org,ug/kg/min,microgram per kilogram per minute
http://unitsofmeasure.org,ug/L,microgram per liter
http://unitsofmeasure.org,ug/L{RBCs},microgram per liter of red blood cells
http://unitsofmeasure.org,ug/L/(24.h),microgram per liter per 24 hour
http://unitsofmeasure.org,ug/mg,microgram per milligram
http://unitsofmeasure.org,ug/mg{creat},microgram per milligram of creatinine
http://unitsofmeasure.org,ug/mL,microgram per milliliter
http://unitsofmeasure.org,ug/mL{class},microgram per milliliter class
http://unitsofmeasure.org,ug/mL{eqv},microgram per milliliter equivalent
http://unitsofmeasure.org,ug/mmol,microgram per millimole
http://unitsofmeasure.org,ug/mmol{creat},microgram per millimole of creatinine
http://unitsofmeasure.org,ug/min,microgram per minute
http://unitsofmeasure.org,ug/ng,microgram per nanogram
http://unitsofmeasure.org,ug/{specimen},microgram per specimen
http://unitsofmeasure.org,ug/[sft_i],microgram per square foot (international)
http://unitsofmeasure.org,ug/m2,microgram per square meter
http://unitsofmeasure.org,u[IU]/L,microinternational unit per liter
http://unitsofmeasure.org,ukat,microkatal
http://unitsofmeasure.org,uL,microliter
http://unitsofmeasure.org,uL/(2.h),microliter per 2 hour
http://unitsofmeasure.org,uL/h,microliter per hour
http://unitsofmeasure.org,um,micrometer
http://unitsofmeasure.org,umol,micromole
http://unitsofmeasure.org,umol{BCE}/mol,micromole bone collagen equivalent per mole
http://unitsofmeasure.org,umol/(2.h),micromole per 2 hour
http://unitsofmeasure.org,umol/(24.h),micromole per 24 hour
http://unitsofmeasure.org,umol/(8.h),micromole per 8 hour
http://unitsofmeasure.org,umol/d,micromole per day
http://unitsofmeasure.org,umol/dL,micromole per deciliter
http://unitsofmeasure.org,umol/dL{GF},micromole per deciliter of glomerular filtrate
http://unitsofmeasure.org,umol/g,micromole per gram
http://unitsofmeasure.org,umol/g{creat},micromole per gram of creatinine
http://unitsofmeasure.org,umol/g{Hb},micromole per gram of hemoglobin
http://unitsofmeasure.org,umol/h,micromole per hour
http://unitsofmeasure.org,umol/kg,micromole per kilogram
http://unitsofmeasure.org,umol/kg{feces},micromole per kilogram of feces
http://unitsofmeasure.org,umol/L,micromole per liter
http://unitsofmeasure.org,umol/L{RBCs},micromole per liter of red blood cells
http://unitsofmeasure.org,umol/L/h,micromole per liter per hour
http://unitsofmeasure.org,umol/umol,micromole per micromole
http://unitsofmeasure.org,umol/umol{creat},micromole per micromole of creatinine
http://unitsofmeasure.org,umol/mg,micromole per milligram
http://unitsofmeasure.org,umol/mg{creat},micromole per milligram of creatinine
http://unitsofmeasure.org,umol/mL,micromole per milliliter
http://unitsofmeasure.org,umol/mL/min,micromole per milliliter per minute
http://unitsofmeasure.org,umol/mmol,micromole per millimole
http://unitsofmeasure.org,umol/mmol{creat},micromole per millimole of creatinine
http://unitsofmeasure.org,umol/10*6{RBC},micromole per million red blood cell
http://unitsofmeasure.org,umol/min,micromole per minute
http://unitsofmeasure.org,umol/min/g,micromole per minute per gram
http://unitsofmeasure.org,umol/min/g{mucosa},micromole per minute per gram of mucosa
http://unitsofmeasure.org,umol/min/g{prot},micromole per minute per gram of protein
http://unitsofmeasure.org,umol/min/L,micromole per minute per liter
http://unitsofmeasure.org,umol/mol,micromole per mole
http://unitsofmeasure.org,umol/mol{creat},micromole per mole of creatinine
http://unitsofmeasure.org,umol/mol{Hb},micromole per mole of hemoglobin
http://unitsofmeasure.org,um/s,microns per second
http://unitsofmeasure.org,uOhm,microOhm
http://unitsofmeasure.org,us,microsecond
http://unitsofmeasure.org,uV,microvolt
http://unitsofmeasure.org,[mi_i],mile (international)
http://unitsofmeasure.org,mU/g,milli  enzyme unit per gram
http://unitsofmeasure.org,mU/mL,milli  enzyme unit per milliliter
http://unitsofmeasure.org,mU/mL/min,milli  enzyme unit per milliliter per minute
http://unitsofmeasure.org,mU/mmol{creat},milli  enzyme unit per millimole of creatinine
http://unitsofmeasure.org,mU/mmol{RBCs},milli  enzyme unit per millimole of red blood cells
http://unitsofmeasure.org,m[IU]/mL,milli  international unit per milliliter
http://unitsofmeasure.org,mU/g{Hb},milli enzyme unit per gram of hemoglobin
http://unitsofmeasure.org,mU/g{prot},milli enzyme unit per gram of protein
http://unitsofmeasure.org,mU/L,milli enzyme unit per liter
http://unitsofmeasure.org,mU/mg,milli enzyme unit per milligram
http://unitsofmeasure.org,mU/mg{creat},milli enzyme unit per milligram of creatinine
http://unitsofmeasure.org,m[IU]/L,milli international unit per liter
http://unitsofmeasure.org,mA,milliampere
http://unitsofmeasure.org,mbar,millibar
http://unitsofmeasure.org,mbar/L/s,millibar per liter per second
http://unitsofmeasure.org,mbar.s/L,millibar second per liter
http://unitsofmeasure.org,meq,milliequivalent
http://unitsofmeasure.org,meq/(2.h),milliequivalent per 2 hour
http://unitsofmeasure.org,meq/(24.h),milliequivalent per 24 hour
http://unitsofmeasure.org,meq/(8.h),milliequivalent per 8 hour
http://unitsofmeasure.org,meq/d,milliequivalent per day
http://unitsofmeasure.org,meq/dL,milliequivalent per deciliter
http://unitsofmeasure.org,meq/g,milliequivalent per gram
http://unitsofmeasure.org,meq/g{creat},milliequivalent per gram of creatinine
http://unitsofmeasure.org,meq/h,milliequivalent per hour
http://unitsofmeasure.org,meq/kg,milliequivalent per kilogram
http://unitsofmeasure.org,meq/kg/h,milliequivalent per kilogram per hour
http://unitsofmeasure.org,meq/L,milliequivalent per liter
http://unitsofmeasure.org,meq/mL,milliequivalent per milliliter
http://unitsofmeasure.org,meq/min,milliequivalent per minute
http://unitsofmeasure.org,meq/{specimen},milliequivalent per specimen
http://unitsofmeasure.org,meq/m2,milliequivalent per square meter
http://unitsofmeasure.org,meq/{total_volume},milliequivalent per total volume
http://unitsofmeasure.org,mg,milligram
http://unitsofmeasure.org,mg{FEU}/L,milligram fibrinogen equivalent unit per liter
http://unitsofmeasure.org,mg/(10.h),milligram per 10 hour
http://unitsofmeasure.org,mg/(12.h),milligram per 12 hour
http://unitsofmeasure.org,mg/(2.h),milligram per 2 hour
http://unitsofmeasure.org,mg/(24.h),milligram per 24 hour
http://unitsofmeasure.org,mg/(6.h),milligram per 6 hour
http://unitsofmeasure.org,mg/(72.h),milligram per 72 hour
http://unitsofmeasure.org,mg/(8.h),milligram per 8 hour
http://unitsofmeasure.org,mg/{collection},milligram per collection
http://unitsofmeasure.org,mg/m3,milligram per cubic meter
http://unitsofmeasure.org,mg/d,milligram per day
http://unitsofmeasure.org,mg/d/{1.73_m2},milligram per day per 1.73 square meter
http://unitsofmeasure.org,mg/dL,milligram per deciliter
http://unitsofmeasure.org,mg/dL{RBCs},milligram per deciliter of red blood cells
http://unitsofmeasure.org,mg/g,milligram per gram
http://unitsofmeasure.org,mg/g{creat},milligram per gram of creatinine
http://unitsofmeasure.org,mg/g{dry_tissue},milligram per gram of dry tissue
http://unitsofmeasure.org,mg/g{feces},milligram per gram of feces
http://unitsofmeasure.org,mg/g{tissue},milligram per gram of tissue
http://unitsofmeasure.org,mg/g{wet_tissue},milligram per gram of wet tissue
http://unitsofmeasure.org,mg/h,milligram per hour
http://unitsofmeasure.org,mg/kg,milligram per kilogram
http://unitsofmeasure.org,mg/kg/(8.h),milligram per kilogram per 8 hour
http://unitsofmeasure.org,mg/kg/d,milligram per kilogram per day
http://unitsofmeasure.org,mg/kg/h,milligram per kilogram per hour
http://unitsofmeasure.org,mg/kg/min,milligram per kilogram per minute
http://unitsofmeasure.org,mg/L,milligram per liter
http://unitsofmeasure.org,mg/L{RBCs},milligram per liter of red blood cells
http://unitsofmeasure.org,mg/mg,milligram per milligram
http://unitsofmeasure.org,mg/mg{creat},milligram per milligram of creatinine
http://unitsofmeasure.org,mg/mL,milligram per milliliter
http://unitsofmeasure.org,mg/mmol,milligram per millimole
http://unitsofmeasure.org,mg/mmol{creat},milligram per millimole of creatinine
http://unitsofmeasure.org,mg/min,milligram per minute
http://unitsofmeasure.org,mg/{specimen},milligram per specimen
http://unitsofmeasure.org,mg/m2,milligram per square meter
http://unitsofmeasure.org,mg/{total_output},milligram per total output
http://unitsofmeasure.org,mg/{total_volume},milligram per total volume
http://unitsofmeasure.org,mg/wk,milligram per week
http://unitsofmeasure.org,mL,milliliter
http://unitsofmeasure.org,mL{fetal_RBCs},milliliter of fetal red blood cells
http://unitsofmeasure.org,mL/(10.h),milliliter per 10 hour
http://unitsofmeasure.org,mL/(12.h),milliliter per 12 hour
http://unitsofmeasure.org,mL/(2.h),milliliter per 2 hour
http://unitsofmeasure.org,mL/(24.h),milliliter per 24 hour
http://unitsofmeasure.org,mL/(4.h),milliliter per 4 hour
http://unitsofmeasure.org,mL/(5.h),milliliter per 5 hour
http://unitsofmeasure.org,mL/(6.h),milliliter per 6 hour
http://unitsofmeasure.org,mL/(72.h),milliliter per 72 hour
http://unitsofmeasure.org,mL/(8.h),milliliter per 8 hour
